Thème,Oeuvre,Compositeur,Média,Catégorie,Année,Difficulté,Pays,Réponse,Lien,Code Spotify,Lien Playlist,marche pas
The Beast,Sicario,	Jóhann Jóhannsson,Film,Thriller,2015,Difficile,USA,,https://open.spotify.com/intl-fr/track/5KwLjZ0oJ5kNl7jGtdiIOC,spotify:track:5KwLjZ0oJ5kNl7jGtdiIOC,,FALSE
Sinister,Sinister,Christopher Young,Film,"Thriller, Horreur",2012,Moyen,USA,,https://open.spotify.com/intl-fr/track/37AeIi2vuBSWmJdG3zXn3k,spotify:track:37AeIi2vuBSWmJdG3zXn3k,,FALSE
Smokestack Twins,Sinners,Ludwig Goransson,Film,"Horreur, Thriller, Western",2025,Moyen,USA,,https://open.spotify.com/intl-fr/track/7bC8wBzEbugsYjLDBkFnSO,spotify:track:7bC8wBzEbugsYjLDBkFnSO,,FALSE
Hail Holy Queen,Sister Act,Marc Shaiman,Film,"Comédie, Musical",1992,Moyen,USA,,https://open.spotify.com/intl-fr/track/7sebGGaTnAyb7RbJDMHTwv,spotify:track:7sebGGaTnAyb7RbJDMHTwv,,FALSE
Skyfall,Skyfall,"Adele, Thomas Newman",Film,Action,2012,Facile,USA,,https://open.spotify.com/intl-fr/track/6VObnIkLVruX4UVyxWhlqm,spotify:track:6VObnIkLVruX4UVyxWhlqm,,FALSE
Jai Ho (You Are My Destiny),Slumdog Millionaire,A.R. Rahman,Film,"Drame, Romance",2008,Facile,UK,,https://open.spotify.com/intl-fr/track/7Kpqjspw4Y7HrvItIRcBiW,spotify:track:7Kpqjspw4Y7HrvItIRcBiW,,FALSE
Crazy,Smile,Cristobal Tapia de Veer,Film,"Thriller, Horreur",2022,Moyen,USA,,https://open.spotify.com/intl-fr/track/1GjJmpVyp3Fap1KqyioVWy,spotify:track:1GjJmpVyp3Fap1KqyioVWy,,FALSE
New Brain,Smile 2,Cristobal Tapia de Veer,Film,"Thriller, Horreur",2024,Moyen,USA,,https://open.spotify.com/intl-fr/track/4R147YJB882q70D8FYpJPV,spotify:track:4R147YJB882q70D8FYpJPV,,FALSE
Snowden Moscow Variation,Snowden,Craig Armstrong,Film,"Thriller, Drame",2016,Difficile,USA,,https://open.spotify.com/intl-fr/track/5AZR5nMkWDU39qH6OsOsxv,spotify:track:5AZR5nMkWDU39qH6OsOsxv,,FALSE
Meet Han,Solo,John Powell,Film,"Science-Fiction, Action",2018,Difficile,USA,,https://open.spotify.com/intl-fr/track/7BVvVmczBoVmVeWr8KMafb,spotify:track:7BVvVmczBoVmVeWr8KMafb,,FALSE
Ghostbusters Theme,SOS Fantôme,Elmer Bernstein,Film,"Comédie, Horreur",1984,Facile,USA,,https://open.spotify.com/intl-fr/track/18hCyOlDA70l1Q7qjmX6Yt,spotify:track:18hCyOlDA70l1Q7qjmX6Yt,,FALSE
Bornto Play,Soul,"Trent Reznor, Atticus Ross, Jon Batiste",Film,"Animation, Disney",2020,Difficile,USA,,https://open.spotify.com/intl-fr/track/4BmuAIPAsCiS2NhqT0gSfL,spotify:track:4BmuAIPAsCiS2NhqT0gSfL,,FALSE
Armor of Death,Speak No Evil,Sune Kølster,Film,Horreur,2022,Difficile,Europe,,https://open.spotify.com/intl-fr/track/1RFSR1bxS8QOmaLNaLTSHY,spotify:track:1RFSR1bxS8QOmaLNaLTSHY,,FALSE
Main Title,Spider-man,Danny Elfman,Film,"Action, Marvel, Super-héro",2002,Facile,USA,,https://open.spotify.com/intl-fr/track/0U6lmEhmRVptZAX7HrauqG,spotify:track:0U6lmEhmRVptZAX7HrauqG,,FALSE
Theme from Spider-Man,Spider-man Home,Michael Giacchino,Film,"Super-héro, Action, Marvel",2017,Moyen,USA,,https://open.spotify.com/intl-fr/track/1tzj2vY4twkNmZ5K3DUOPp,spotify:track:1tzj2vY4twkNmZ5K3DUOPp,,FALSE
Sunflower,Spider-man Into The Spider-Verse,Daniel Pemberton,Film,"Marvel, Super-héro, Animation",2018,Moyen,USA,,https://open.spotify.com/intl-fr/track/3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,,FALSE
Kevin Wendell Crumb,Split,West Dylan Thordson,Film,"Thriller, Action, Horreur",2016,Difficile,USA,,https://open.spotify.com/intl-fr/track/2kdGzlcbDEtG5mgLYAb4vP,spotify:track:2kdGzlcbDEtG5mgLYAb4vP,,FALSE
Main Theme,Star Trek,Jerry Goldsmith,Film,"Science-Fiction, Action",1979,Moyen,USA,,https://open.spotify.com/intl-fr/track/6fVX8mF9ZqS1V8G2ZFCbLQ,spotify:track:6fVX8mF9ZqS1V8G2ZFCbLQ,,FALSE
Force Theme,Star Wars,John Williams,Film,"Disney, Science-Fiction, Action",1977,Facile,USA,,https://open.spotify.com/intl-fr/track/0vYBB1jvxZC8Z6p46udXha,spotify:track:0vYBB1jvxZC8Z6p46udXha,,FALSE
Klendathu Drop	,Straship Trooper,Basil Poledouris,Film,"Science-Fiction, Action",1997,Difficile,USA,,https://open.spotify.com/intl-fr/track/6yZADCHdcUwYz0SZUca7Fh,spotify:track:6yZADCHdcUwYz0SZUca7Fh,,FALSE
I'm Gonna Miss You,Stuart Little,Alan Silvestri,Film,Comédie,1999,Difficile,USA,,https://open.spotify.com/intl-fr/track/22FkyeGp1gMiIRvdddivbx,spotify:track:22FkyeGp1gMiIRvdddivbx,,FALSE
Heathens,Suicide Squad,Twenty one pilots,Film,"Super-héro, Action",2016,Moyen,USA,,https://open.spotify.com/intl-fr/track/6i0V12jOa3mr6uu4WYhUBr,spotify:track:6i0V12jOa3mr6uu4WYhUBr,,FALSE
Superman March,Superman,John Williams,Film,"Super-héro, Action",1978,Facile,USA,,https://open.spotify.com/intl-fr/track/18X1KK5GDEWngBMnTb48pJ,spotify:track:18X1KK5GDEWngBMnTb48pJ,,FALSE
Pursuit by the Seine,Taken,Nathaniel Méchaly,Film,"Thriller, Action",2008,Moyen,France,,https://open.spotify.com/intl-fr/track/44cpqP8h97oYxSg8Zchi9S,spotify:track:44cpqP8h97oYxSg8Zchi9S,,FALSE
Talk to me,Talk To Me,Cornel Wilczek,Film,"Horreur, Thriller",2022,Difficile,USA,,https://open.spotify.com/intl-fr/track/5a7rPKAJCjG29fgq2MzpbX,spotify:track:5a7rPKAJCjG29fgq2MzpbX,,FALSE
Je Veux Savoir,Tarzan,"Phil Collins, Mark Mancina",Film,"Animation, Disney",1999,Facile,USA,,https://open.spotify.com/intl-fr/track/2hQEhszuJ1boLQdy4eo7ks,spotify:track:2hQEhszuJ1boLQdy4eo7ks,,FALSE
The Breakup,Ted,Walter Murphy,Film,Comédie,2021,Difficile,USA,,https://open.spotify.com/intl-fr/track/0IzZIqvZGpjG5v1A0Eb6bd,spotify:track:0IzZIqvZGpjG5v1A0Eb6bd,,FALSE
Posterity,Tenet,Ludwig Goransson,Film,Science-Fiction,2020,Moyen,USA,,https://open.spotify.com/intl-fr/track/1AKIi40li4kyJHQKOuF3Qz,spotify:track:1AKIi40li4kyJHQKOuF3Qz,,FALSE
Main Title,Terminator,Brad Fiedel,Film,"Science-Fiction, Thriller, Action",1984,Facile,USA,,https://open.spotify.com/intl-fr/track/6jNFXIiJDOvSzFqQOk0Gt9,spotify:track:6jNFXIiJDOvSzFqQOk0Gt9,,FALSE
Tetrominoes,Tetris,Lorne Balfe,Film,Action,2023,Moyen,USA,,https://open.spotify.com/intl-fr/track/04dKvOHCXa50jHHK2FLess,spotify:track:04dKvOHCXa50jHHK2FLess,,FALSE
Main Title,The Amazing Spider-man,"James Horner, Hans Zimmer",Film,"Super-héro, Action, Marvel",2012,Difficile,USA,,https://open.spotify.com/intl-fr/track/45pKftYJKDnAuNYgGHcddL,spotify:track:45pKftYJKDnAuNYgGHcddL,,FALSE
I'm Spider-Man,The Amazing Spider-man 2,Hans Zimmer,Film,"Super-héro, Action, Marvel",2014,Moyen,USA,,https://open.spotify.com/intl-fr/track/6AFck7IceEDRYCoaPE1eiD,spotify:track:6AFck7IceEDRYCoaPE1eiD,,FALSE
George Valentin,The Artist,Ludovic Bource,Film,"Drame, Romance, Histoire",2011,Moyen,France,,https://open.spotify.com/intl-fr/track/2fVQ3edruA8UsowxxUnnyg,spotify:track:2fVQ3edruA8UsowxxUnnyg,,FALSE
The Batman,The Batman,Michael Giacchino,Film,"Super-héro, Action",2022,Moyen,USA,,https://open.spotify.com/intl-fr/track/1NkI8DtCnjcWVCVLF0gB71,spotify:track:1NkI8DtCnjcWVCVLF0gB71,,FALSE
Overture,The Brutalist,Daniel Blumberg,Film,"Drame, Histoire",2024,Difficile,USA,,https://open.spotify.com/intl-fr/track/6HGPnSZRHXwERGEmZ4Wh6W,spotify:track:6HGPnSZRHXwERGEmZ4Wh6W,,FALSE
Main Theme,The Dark Knight,Hans Zimmer,Film,"Action, Super-héro",2008,Facile,USA,,https://open.spotify.com/intl-fr/track/2uZg4Dg2zshOJTyKa22ixE,spotify:track:2uZg4Dg2zshOJTyKa22ixE,,FALSE
I Was Made For Lovin' You,The Fall Guy,Dominic Lewis,Film,Action,2024,Difficile,USA,,https://open.spotify.com/intl-fr/track/55ikcenXPbQdzCnO1sOuYg,spotify:track:55ikcenXPbQdzCnO1sOuYg,,FALSE
The Gray Man,The Gray Man,Henry Jackman,Film,"Thriller, Action",2022,Difficile,USA,,https://open.spotify.com/intl-fr/track/5HzYNe4YgpvnXTqzqKGzKs,spotify:track:5HzYNe4YgpvnXTqzqKGzKs,,FALSE
A Million Dreams,The Greatest Showman,"Benj Pasek, Justin Paul",Film,"Musical, Drame",2017,Facile,USA,,https://open.spotify.com/intl-fr/track/0RoA7ObU6phWpqhlC9zH4Z,spotify:track:0RoA7ObU6phWpqhlC9zH4Z,,FALSE
Misty Mountains,The Hobbit,Howard Shore,Film,"Fantasy, Action",2012,Moyen,USA,,https://open.spotify.com/intl-fr/track/3AAwJ043uT1wXSKDtGyuxF,spotify:track:3AAwJ043uT1wXSKDtGyuxF,,FALSE
William Tell Overture,The Lone Ranger,Hans Zimmer,Film,"Action, Disney, Comédie",2013,Difficile,USA,,https://open.spotify.com/intl-fr/track/0txFKLplUPPpb0YqR8x9lg,spotify:track:0txFKLplUPPpb0YqR8x9lg,,FALSE
Cuban Pete,The Mask,Randy Edelman,Film,Comédie,1994,Moyen,USA,,https://open.spotify.com/intl-fr/track/7gqVS7J2oyBd4F1UwiRrOY,spotify:track:7gqVS7J2oyBd4F1UwiRrOY,,FALSE
All Aboard,The Menu,Colin Stetson,Film,"Horreur, Thriller",2022,Difficile,USA,,https://open.spotify.com/intl-fr/track/1hT4ky9OMjtDpZJbJs08XY,spotify:track:1hT4ky9OMjtDpZJbJs08XY,,FALSE
Zamiatin,The Platform,Aitor Etxebarria,Film,"Science-Fiction, Thriller, Horreur",2019,Difficile,Espagne,,https://open.spotify.com/intl-fr/track/7acKDBQ6xNd94sWPOb7iNs,spotify:track:7acKDBQ6xNd94sWPOb7iNs,,FALSE
The Rock,The Rock,"Hans Zimmer, Nick Glennie-Smith",Film,"Action, Thriller",1996,Difficile,USA,,https://open.spotify.com/intl-fr/track/14n5tNZclULhHLBo0l1sEB,spotify:track:14n5tNZclULhHLBo0l1sEB,,FALSE
Hand Covers Bruise,The Social Network,"Trent Reznor, Atticus Ross",Film,"Drame, Histoire",2010,Difficile,USA,,https://open.spotify.com/intl-fr/track/1v0uVPU6BWcbog5BiWLWVa,spotify:track:1v0uVPU6BWcbog5BiWLWVa,,FALSE
The Substance,The Substance,Raffertie,Film,Horreur,2024,Facile,USA,,https://open.spotify.com/intl-fr/track/7LX3IsrCPIWLJKyKftkPt1,spotify:track:7LX3IsrCPIWLJKyKftkPt1,,FALSE
Peaches,The Super Mario Bros Movie,"Brian Tyler, Koji Kondo",Film,"Animation, Comédie, Action",2023,Facile,USA,,https://open.spotify.com/intl-fr/track/4w9soAM7IrmYDhSXLp14p6,spotify:track:4w9soAM7IrmYDhSXLp14p6,,FALSE
The Thing,The Thing,Ennio Morricone,Film,"Horreur, Science-Fiction, Thriller",1982,Difficile,USA,,https://open.spotify.com/intl-fr/track/3prpCQntkUBMO4AYhHlGZr,spotify:track:3prpCQntkUBMO4AYhHlGZr,,FALSE
Theme from Thor The Dark World,Thor,Patrick Doyle,Film,"Super-héro, Action, Marvel",2011,Moyen,USA,,https://open.spotify.com/intl-fr/track/5rQmuNRjKT6t33JlNJbc6I,spotify:track:5rQmuNRjKT6t33JlNJbc6I,,FALSE
Thunderbolts*,Thunderbolts*,Son Lux,Film,"Marvel, Super-héro, Action",2025,Difficile,USA,"Thunderbolt, New Avengers, The New Avengers, Les nouveaux avengers, nouveaux avengers, Thunderbolts",https://open.spotify.com/intl-fr/track/5OXtqgjZzi1Kj9EJlg45t2,spotify:track:5OXtqgjZzi1Kj9EJlg45t2,,FALSE
In Time Main Theme,Time-Out,Craig Armstrong,Film,"Science-Fiction, Action",2011,Difficile,USA,,https://open.spotify.com/intl-fr/track/7zqCaIEeFt9iTVFhLguRv3,spotify:track:7zqCaIEeFt9iTVFhLguRv3,,FALSE
My Heart Will Go On,Titanic,James Horner,Film,"Drame, Histoire",1997,Facile,USA,,https://open.spotify.com/intl-fr/track/42lyCSXzWizBfGmqE1Silk,spotify:track:42lyCSXzWizBfGmqE1Silk,,FALSE
Danger Zone	,Top Gun,"Harold Faltermeyer, Giorgio Moroder",Film,"Action, Drame",1986,Facile,USA,,https://open.spotify.com/intl-fr/track/00Y9r5SfbDdEjJhNg7laQr,spotify:track:00Y9r5SfbDdEjJhNg7laQr,,FALSE
Je suis ton ami,Toy Story,Randy Newman,Film,"Animation, Disney",1995,Facile,USA,,https://open.spotify.com/intl-fr/track/5BfsydAwHCdYIRXuDZNSsm,spotify:track:5BfsydAwHCdYIRXuDZNSsm,,FALSE
Arrival On Earth,Transformers,Steve Jablonsky,Film,Action,2007,Moyen,USA,,https://open.spotify.com/intl-fr/track/4u4VElxO7JM4IR4jR4TL1s,spotify:track:4u4VElxO7JM4IR4jR4TL1s,,FALSE
Save Me,Trap,"Herdís Stefánsdóttir, Saleka Shyamalan",Film,"Thriller, Horreur",2024,Moyen,USA,,https://open.spotify.com/intl-fr/track/6YjzntAGHEWcxuJGMB8n5D,spotify:track:6YjzntAGHEWcxuJGMB8n5D,,FALSE
Derezzed,Tron Legacy,Daft Punk,Film,"Science-Fiction, Action, Disney",2010,Moyen,USA,Tron,https://open.spotify.com/intl-fr/track/7hqlHZIXhwAzpWQxm9KzBd,spotify:track:7hqlHZIXhwAzpWQxm9KzBd,,FALSE
Truman Sleeps,Truman Show,Burkhard Dallwitz,Film,Drame,1998,Difficile,USA,,https://open.spotify.com/intl-fr/track/4N7h4IHWRaJCOo1VFdTMHV,spotify:track:4N7h4IHWRaJCOo1VFdTMHV,,FALSE
Break Olivia's Hant,Truth or Dare,Matthew Margeson,Film,"Thriller, Horreur",2018,Difficile,USA,,https://open.spotify.com/intl-fr/track/6rnblsbr2D8Kk0gr6aOF4T,spotify:track:6rnblsbr2D8Kk0gr6aOF4T,,FALSE
Bella's Lullaby,Twilight,"Wojciech Kilar, Carter Burwell",Film,"Fantasy, Romance",2008,Moyen,USA,,https://open.spotify.com/intl-fr/track/0w5ymU3obTE6hVDfMHJDDL,spotify:track:0w5ymU3obTE6hVDfMHJDDL,,FALSE
Twister,Twister,Mark Mancina,Film,Action,1996,Difficile,USA,,https://open.spotify.com/intl-fr/track/0YwrYlc7aiRcurF2oRjAWB,spotify:track:0YwrYlc7aiRcurF2oRjAWB,,FALSE
Twisters,Twisters,Benjamin Wallfisch,Film,"Action, Drame",2024,Difficile,USA,,https://open.spotify.com/intl-fr/track/0JUYHO6uh1CuQ8WaDZFYm6,spotify:track:0JUYHO6uh1CuQ8WaDZFYm6,,FALSE
Un Indien dans la Ville,Un Indien dans la Ville,Marc Hillman,Film,Comédie,1994,Moyen,France,,https://open.spotify.com/intl-fr/track/77qA7VUqdhaAmq1YLznI0I,spotify:track:77qA7VUqdhaAmq1YLznI0I,,FALSE
La Seine,Un Monstre à Paris,"Matthieu Chedid, Vanessa Paradis",Film,"Comédie, Animation, Musical",2011,Moyen,France,,https://open.spotify.com/intl-fr/track/4B6XjmOWI55np7y4MUTXDu,spotify:track:4B6XjmOWI55np7y4MUTXDu,,FALSE
Uncharted,Uncharted,Ramin Djawadi,Film,Action,2022,Difficile,USA,,https://open.spotify.com/intl-fr/track/403J2ArGAXfFE6H1Ip14zB,spotify:track:403J2ArGAXfFE6H1Ip14zB,,FALSE
Main Theme,Usual Suspects,John Ottman,Film,Thriller,1995,Difficile,USA,,https://open.spotify.com/intl-fr/track/4PydCZcrYDS66GuCl2Yfqc,spotify:track:4PydCZcrYDS66GuCl2Yfqc,,FALSE
Le bleu lumière,Vaiana,Mark Mancina,Film,"Animation, Disney",2016,Facile,USA,Moana,https://open.spotify.com/intl-fr/track/4ZO3Mu6FEIoRLeHgJuHgjs,spotify:track:4ZO3Mu6FEIoRLeHgJuHgjs,,FALSE
Valerian's Armor,Valérian,Alexandre Desplat,Film,"Science-Fiction, Action",2017,Difficile,France,,https://open.spotify.com/intl-fr/track/3S0gaJKDubdjf3MJXHsDcB,spotify:track:3S0gaJKDubdjf3MJXHsDcB,,FALSE
Venom,Venom,Ludwig Goransson,Film,"Super-héro, Action, Marvel",2018,Difficile,USA,,https://open.spotify.com/intl-fr/track/3kpYJjvM8Ja6btr5hEJLWc,spotify:track:3kpYJjvM8Ja6btr5hEJLWc,,FALSE
Stu's Song,Very Bad Trip,Christophe Beck,Film,Comédie,2009,Difficile,USA,,https://open.spotify.com/intl-fr/track/3OAIhkLwWzsTqcnszSmObN,spotify:track:3OAIhkLwWzsTqcnszSmObN,,FALSE
Bundle of Joy,Vice-Versa,Michael Giacchino,Film,"Animation, Comédie, Disney",2015,Facile,USA,,https://open.spotify.com/intl-fr/track/3eTgg18rKBD30Hef1gv0wz,spotify:track:3eTgg18rKBD30Hef1gv0wz,,FALSE
Barking at the Moon,Volt,John Powell,Film,"Animation, Disney",2008,Moyen,USA,Bolt,https://open.spotify.com/intl-fr/track/575TC82P638HnynAEbAXuU,spotify:track:575TC82P638HnynAEbAXuU,,FALSE
Define Dancing,Wall-E,Michael Giacchino,Film,"Animation, Disney",2008,Moyen,USA,,https://open.spotify.com/intl-fr/track/5zeaIcBVA0Ta8JVp1S5zDM,spotify:track:5zeaIcBVA0Ta8JVp1S5zDM,,FALSE
Closing,We Live In Time,Bryce Dessner,Film,"Romance, Drame",2024,Moyen,UK,L'amour au présent,https://open.spotify.com/intl-fr/track/2yGLCTgpAWtbu8qBb7CfM5,spotify:track:2yGLCTgpAWtbu8qBb7CfM5,,FALSE
Don't Let Them Take Them,What Happened to Monday,Christian Wibe,Film,"Science-Fiction, Thriller",2017,Difficile,USA,,https://open.spotify.com/intl-fr/track/0rnzJ2qvoRDeDnsZAibfQK,spotify:track:0rnzJ2qvoRDeDnsZAibfQK,,FALSE
Whiplash,Whiplash,Justin Hurvitz,Film,Musical,2014,Difficile,France,,https://open.spotify.com/intl-fr/track/0v0oL77zDnGTdRwB2q6OIm,spotify:track:0v0oL77zDnGTdRwB2q6OIm,,FALSE
Defying Gravity,Wicked,Stephen Schwartz,Film,"Musical, Fantasy, Drame",2024,Facile,USA,,https://open.spotify.com/intl-fr/track/5QMrH5nszZZR3nefIj6Mar,spotify:track:5QMrH5nszZZR3nefIj6Mar,,FALSE
Main Title,Will Hunting,Danny Elfman,Film,"Drame, Romance",1997,Difficile,USA,Good Will Hunting,https://open.spotify.com/intl-fr/track/5q1HXKqNg8SN6HTqlG0RR9,spotify:track:5q1HXKqNg8SN6HTqlG0RR9,,FALSE
Wonder Woman's Wrath,Wonderwoman,"Hans Zimmer, Junkie XL, Tina Guo",Film,"Super-héro, Action",2017,Facile,USA,,https://open.spotify.com/intl-fr/track/0oz9ITtPIt3iI1nzdVX9L2,spotify:track:0oz9ITtPIt3iI1nzdVX9L2,,FALSE
Pure Imagination,Wonka,"Joby Talbot, Neil Hannon",Film,"Fantasy, Comédie, Musical",2023,Facile,USA,,https://open.spotify.com/intl-fr/track/1m9TZ1dpYEQnczSsI6z9Ku,spotify:track:1m9TZ1dpYEQnczSsI6z9Ku,,FALSE
Theme from World War Z,World War Z,Marco Beltrami,Film,"Action, Horreur, Thriller",2013,Difficile,USA,,https://open.spotify.com/intl-fr/track/3FY4wCXHbQe5S5jAFNbAXr,spotify:track:3FY4wCXHbQe5S5jAFNbAXr,,FALSE
First Class,X-Men First Class,Henry Jackman,Film,"Super-héro, Marvel, Action",2000,Difficile,USA,X-Men,https://open.spotify.com/intl-fr/track/5IWmdl33NNTLsKlLT6WSlh,spotify:track:5IWmdl33NNTLsKlLT6WSlh,,FALSE
Try Everything,Zootopie,Shakira,Film,"Animation, Comédie",2016,Moyen,USA,,https://open.spotify.com/intl-fr/track/3yAgydlCvZLYQ94C5mLCxe,spotify:track:3yAgydlCvZLYQ94C5mLCxe,,FALSE
Farewell,A Way Out,"Gustaf Grefberg, Sam Hulick",Jeux vidéo,"Thriller, Action, Drame",2018,Difficile,Europe,,https://open.spotify.com/intl-fr/track/3TICwBciB5Oo1YoF6J0gtS,spotify:track:3TICwBciB5Oo1YoF6J0gtS,,FALSE
Main Theme,Apex Legends,Stephen Barton,Jeux vidéo,"Action, Science-Fiction",2019,Difficile,USA,,https://open.spotify.com/intl-fr/track/0cdLXNrKZaeEEtia0tKvWS,spotify:track:0cdLXNrKZaeEEtia0tKvWS,,FALSE
Main Theme,ARK Survival Evolved,Gareth Coker,Jeux vidéo,"Science-Fiction, Action",2017,Difficile,USA,ARK,https://open.spotify.com/intl-fr/track/1BjmXBrelBxr8DDrS84O99,spotify:track:1BjmXBrelBxr8DDrS84O99,,FALSE
Ezio's Family,Assassin's Creed,Jesper Kyd,Jeux vidéo,"Histoire, Action",2009,Difficile,USA,,https://open.spotify.com/intl-fr/track/05UMQXFCsa9oPnLgfJHVyF,spotify:track:05UMQXFCsa9oPnLgfJHVyF,,FALSE
The Ocean On His Shoulders,Bioshock,Garry Schyman,Jeux vidéo,"Science-Fiction, Action",2007,Difficile,USA,,https://open.spotify.com/intl-fr/track/57dlX3ieK5BpHmXM0BrIsW,spotify:track:57dlX3ieK5BpHmXM0BrIsW,,FALSE
Adrenaline,Call of Duty Black Ops 2,"Jack Wall, Big Giant Circles",Jeux vidéo,Action,2012,Difficile,USA,"Call Of, Call of Duty, BO2, Black Ops 2",https://open.spotify.com/intl-fr/track/1XBMeyr1oA6kFRPgDC0q0x,spotify:track:1XBMeyr1oA6kFRPgDC0q0x,,FALSE
Ressurections,Celeste,Lena Raine,Jeux vidéo,"Fantasy, Action",2018,Difficile,USA,,https://open.spotify.com/intl-fr/track/3flQv4DNGg31Ic4vBv45Tj,spotify:track:3flQv4DNGg31Ic4vBv45Tj,,FALSE
Alicia,Clair Obscur : Expedition 33,Lorien Testard,Jeux vidéo,"Science-Fiction, Drame",2024,Moyen,France,"Expedition 33, Clair Obscur",https://open.spotify.com/intl-fr/track/3j1lvwbdfj3xflDnQazc8n,spotify:track:3j1lvwbdfj3xflDnQazc8n,,FALSE
Counter-Strike 2,Counter-Strike 2,Mike Morasky,Jeux vidéo,Action,2023,Moyen,USA,"CS, CS2, Counter-Strike",https://open.spotify.com/intl-fr/track/4ZWhFlkQi8aCb0iTTBO3fs,spotify:track:4ZWhFlkQi8aCb0iTTBO3fs,,FALSE
Floral Fury,Cup Head,Kristofer Maddigan,Jeux vidéo,Animation,2017,Difficile,USA,,https://open.spotify.com/intl-fr/track/3zD0YE28NZ9qTHvfVl6imU,spotify:track:3zD0YE28NZ9qTHvfVl6imU,,FALSE
The Rebel Path,Cyberpunk 2077,P.T. Adamczyk,Jeux vidéo,"Science-Fiction, Drame, Action",2020,Moyen,Europe,,https://open.spotify.com/intl-fr/track/3m8UfZwPMMbiWfGR8Lg2cR,spotify:track:3m8UfZwPMMbiWfGR8Lg2cR,,FALSE
Main Menu Theme,Dark Souls III,Yuka Kitamura,Jeux vidéo,"Fantasy, Action",2016,Difficile,Asie,,https://open.spotify.com/intl-fr/track/7KxvgvA5yLTUPPUg8hODcN,spotify:track:7KxvgvA5yLTUPPUg8hODcN,,FALSE
Theme,Dead by Daylight,Michel F April,Jeux vidéo,Horreur,2016,Difficile,USA,,https://open.spotify.com/intl-fr/track/7v5mdv5McCvJLDIeZHsHo5,spotify:track:7v5mdv5McCvJLDIeZHsHo5,,FALSE
Almost Nothing,Death Stranding,Silent Poets,Jeux vidéo,"Science-Fiction, Drame",2019,Difficile,Asie,,https://open.spotify.com/intl-fr/track/4fFkeWRy0xKYwPzm4HDdnu,spotify:track:4fFkeWRy0xKYwPzm4HDdnu,,FALSE
Hostage,Detroit Become Human,Nima Fakhrara,Jeux vidéo,"Science-Fiction, Thriller, Action",2018,Moyen,France,,https://open.spotify.com/intl-fr/track/2lux5JzRo8SBpwjMWurAHb,spotify:track:2lux5JzRo8SBpwjMWurAHb,,FALSE
Honor for All,Dishonored,Daniel Licht,Jeux vidéo,Action,2012,Difficile,USA,,https://open.spotify.com/intl-fr/track/4qE7UrrvdQxQsoLBRWswbb,spotify:track:4qE7UrrvdQxQsoLBRWswbb,,FALSE
Rip & Tear,DOOM,Mick Gordon,Jeux vidéo,"Science-Fiction, Action",2016,Difficile,USA,,https://open.spotify.com/intl-fr/track/5soMJpcVhSrGrB4prvPL6P,spotify:track:5soMJpcVhSrGrB4prvPL6P,,FALSE
The Final Battle,Elden Ring,Tsukasa Saitoh,Jeux vidéo,"Fantasy, Action",2022,Difficile,Asie,,https://open.spotify.com/intl-fr/track/05CTZquJvcOZIyWlaOVBT0,spotify:track:05CTZquJvcOZIyWlaOVBT0,,FALSE
Everybody Falls,Fall Guys,"Jukio Kallio, Daniel Hagström",Jeux vidéo,Comédie,2020,Moyen,UK,,https://open.spotify.com/intl-fr/track/72uR0pYwXZM1jSsyk1YPlf,spotify:track:72uR0pYwXZM1jSsyk1YPlf,,FALSE
Main Theme,Fallout 4,Inon Zur,Jeux vidéo,"Science-Fiction, Action, Drame",2015,Difficile,USA,Fallout,https://open.spotify.com/intl-fr/track/11wKe8bZjcb3npZX6aAcXi,spotify:track:11wKe8bZjcb3npZX6aAcXi,,FALSE
Far Cry 3,Far Cry 3,Brian Tyler,Jeux vidéo,"Action, Drame",2012,Difficile,USA,Far Cry,https://open.spotify.com/intl-fr/track/5x3lpVdpLCWlbliQ7RY9pF,spotify:track:5x3lpVdpLCWlbliQ7RY9pF,,FALSE
Love Grows,Final Fantasy VIII,Nobuo Uematsu,Jeux vidéo,"Fantasy, Action",1999,Moyen,Asie,"Final Fantasy, FF, FF8, Final Fantasy 8",https://open.spotify.com/intl-fr/track/5lC7Yz4AUa7asHgUeZlHgR,spotify:track:5lC7Yz4AUa7asHgUeZlHgR,,FALSE
Prologue,Firewatch,Chris Remo,Jeux vidéo,Thriller,2016,Difficile,USA,,https://open.spotify.com/intl-fr/track/1k8lE3IG2RTNdJaYH7erHq,spotify:track:1k8lE3IG2RTNdJaYH7erHq,,FALSE
Original Main Theme,Fortnite,Pinar Toprak,Jeux vidéo,Action,2017,Difficile,USA,,https://open.spotify.com/intl-fr/track/58IQ3rW3QjJR1Zw7YETh3z,spotify:track:58IQ3rW3QjJR1Zw7YETh3z,,FALSE
Gang Beasts Days,Gang Beast,"Doseone, Bob Larder",Jeux vidéo,Comédie,2017,Difficile,UK,,https://open.spotify.com/intl-fr/track/3koRbT3lKhW0Fo35Nk68KW,spotify:track:3koRbT3lKhW0Fo35Nk68KW,,FALSE
