Thème,Oeuvre,Compositeur,Média,Catégorie,Année,Difficulté,Pays,Réponse,Lien,Code Spotify,Lien Playlist,marche pas
J'en ai rêvé,La Belle au Bois Dormant,George Bruns,Film,"Animation, Disney",1959,Moyen,USA,,https://open.spotify.com/intl-fr/track/75yUhJ5RQVY3NrWarzaoB9,spotify:track:75yUhJ5RQVY3NrWarzaoB9,,FALSE
Histoire Éternelle,La Belle et la Bête,Alan Menken,Film,"Animation, Disney",1991,Facile,USA,,https://open.spotify.com/intl-fr/track/7fkU3oCLTQkk56ouUOK8CW,spotify:track:7fkU3oCLTQkk56ouUOK8CW,,FALSE
Bella Notte,La Belle et le Clochard,Oliver Wallace,Film,"Animation, Disney",1955,Moyen,USA,,https://open.spotify.com/intl-fr/track/1ihmFFDXuxp4uWdIRY4uWi,spotify:track:1ihmFFDXuxp4uWdIRY4uWi,,FALSE
Reality,La Boum,Vladimir Cosma,Film,"Comédie, Drame",1980,Facile,France,,https://open.spotify.com/intl-fr/track/1gci2QBGH5nzPWePv6ATom,spotify:track:1gci2QBGH5nzPWePv6ATom,,FALSE
La Cabra,La Chèvre,Vladimir Cosma,Film,Comédie,1981,Moyen,France,,https://open.spotify.com/intl-fr/track/0WXZqTdtboHWJV5zNt9UEr,spotify:track:0WXZqTdtboHWJV5zNt9UEr,,FALSE
Début,La Cité de la Peur,Philippe Chany,Film,Comédie,1994,Moyen,France,,https://open.spotify.com/intl-fr/track/5sYYsN24ZbbtRlzhvtD1QQ,spotify:track:5sYYsN24ZbbtRlzhvtD1QQ,,FALSE
The Addams Family Theme,La Famille Addams,Marc Shaiman,Film,Comédie,1991,Facile,USA,,https://open.spotify.com/intl-fr/track/5QIVtapQoKCkzUiCLavP9l,spotify:track:5QIVtapQoKCkzUiCLavP9l,,FALSE
Je vole,La Famille Bélier,Michel Sardou,Film,"Musical, Drame, Comédie",2014,Facile,France,,https://open.spotify.com/intl-fr/track/5CLkunLzzmoI5vzwlR5QeV,spotify:track:5CLkunLzzmoI5vzwlR5QeV,,FALSE
Theme from Spaceballs,La Folle Histoire de l'Espace,John Morris,Film,"Comédie, Science-Fiction",1987,Difficile,USA,Spaceballs,https://open.spotify.com/intl-fr/track/6QYkNzcH6lvlvsisYyYz4F,spotify:track:6QYkNzcH6lvlvsisYyYz4F,,FALSE
Tea for Two,La Grande Vadrouille,"Georges Auric, Hector Berlioz",Film,"Comédie, Histoire",1966,Moyen,France,,https://open.spotify.com/intl-fr/track/2KMXMeCHWgsEZnhBsXtQcV,spotify:track:2KMXMeCHWgsEZnhBsXtQcV,,FALSE
